id_ruta,codigo_ruta,nombre_ruta,recorrido,sistema_ruta,tipo_ruta,empresa,tipo_actoadmin,numero_actoadmin,anio_actoadmin,estado,fecha_actualizacion
90099,267,Éxito,Origen-Destino,2A,Directa Centro,Palenque Robledal,,,,,1533081600000
90068,250iVF,Villa Flora integrada,Destino-Origen,2A,Integrada,Palenque Robledal,,,,,1593043200000
90014,309D,Ruta de la Salud izquierda directa,Origen-Destino,"Circular 304, 305, 308, 308D, 309, 309D",Circular,Coinvetrans,,,,,1533081600000
90002,286,Circular 286,Destino-Origen,Circular 286,Circular,Combuses,,,,,1585785600000
90005,300,Circular,Destino-Origen,"Circular Coonatra 300, 301, 310, 311",Circular,Coonatra,,,,,1533081600000
90072,250M,Moravia,Destino-Origen,2A,Integrada,Palenque Robledal,,,,,1533081600000
90003,302,Circular Antihorario 302,Destino-Origen,Circular Izquierda 302,Circular,Autobuses Poblado Laureles,,,,,1533081600000
90104,261A,Alfonso López - Viejo Terminal,Destino-Origen,2B,Directa Centro,Transporte Medellín Castilla,,,,,1533081600000
90064,246ii,Blanquizal integrada,Origen-Destino,2A,Integrada,Cootransblan,,,,,1533081600000
90094,260CL,Clínica,Destino-Origen,2A,Directa Centro,Palenque Robledal,,,,,1582243200000
90090,255V3,Derecha Vereda Boquerón - Parque San Cristóbal,Destino-Origen,2A,Directa No Centro,Rápido San Cristóbal,,,,,1592956800000
90074,251,Margaritas,Origen-Destino,2A,Directa Centro,Palenque Robledal,,,,,1533081600000
90001,303,Circular Horario 303,Origen-Destino,Circular Derecha 303,Circular,Coonatra,,,,,1533081600000
90016,316,Circular 316,Destino-Origen,Circular 315 Y 316,Circular,Santra,,,,,1533081600000
90086,255P,Palmitas-Centro,Origen-Destino,2A,Directa Centro,Rápido San Cristóbal,,,,,1533081600000
90096,260i,Seminario integrada,Destino-Origen,2A,Integrada,Palenque Robledal,,,,,1576195200000
90008,311,Directa Circular,Destino-Origen,"Circular Coonatra 300, 301, 310, 311",Circular,Coonatra,,,,,1635465600000
90076,253D,Aures derecha,Origen-Destino,2A,Directa Centro,Palenque Robledal,,,,,1533081600000
90067,250R,Robledales,Origen-Destino,2A,Directa Centro,Palenque Robledal,,,,,1533081600000
90079,253iAR,Robledo Aures integrada Ramal,Origen-Destino,2A,Integrada,Palenque Robledal,,,,,1533081600000
90088,255V1D,Vereda El Llano - Centro,Origen-Destino,2A,Directa Centro,Rápido San Cristóbal,,,,,1533081600000
90085,255iD,Metrocable La Aurora,Origen-Destino,2A,Integrada,Rápido San Cristóbal,,,,,1533081600000
90059,246D,Blanquizal Calazanía directa,Origen-Destino,2A,Directa Centro,Cootransblan,,,,,1533081600000
90107,261,Alfonso López Calle 94,Destino-Origen,2B,Directa Centro,Transporte Medellín Castilla,,,,,1533081600000
90080,254,Picacho,Destino-Origen,2A,Directa Centro,Transporte Medellín Castilla,,,,,1533081600000
90072,250M,Moravia,Origen-Destino,2A,Integrada,Palenque Robledal,,,,,1533081600000
90098,260T,Torres,Destino-Origen,2A,Directa Centro,Palenque Robledal,,,,,1586736000000
90183,102,Ávila-Iglesia Cataluña,Destino-Origen,6A,Directa Centro,Cootranscataluña,,,,,1576627200000
90078,253iA,Robledo Aures integrada,Destino-Origen,2A,Integrada,Palenque Robledal,,,,,1533081600000
90375,024 Barrial,Playon de los Comuneros_Barrial,Origen-Destino,6B,Directa No Centro,,,,,,1533081600000
90070,250VF,Robledo Villa Flora,Destino-Origen,2A,Directa Centro,Palenque Robledal,,,,,1592956800000
90095,260C,Córdoba,Origen-Destino,2A,Directa Centro,Palenque Robledal,,,,,1576108800000
90092,255A,Nuevo Occidente El Tirol,Destino-Origen,2A,Directa Centro,Rápido San Cristóbal,,,,,1582243200000
90089,255V2,Vereda Yolombó - Parque San Cristóbal,Origen-Destino,2A,Directa No Centro,Rápido San Cristóbal,,,,,1533081600000
90075,252,Kennedy,Origen-Destino,2A,Directa Centro,Palenque Robledal,,,,,1743638400000
90065,250AiP,Pajarito integrada,Origen-Destino,2A,Integrada,Palenque Robledal,,,,,1593043200000
90104,261A,Alfonso López - Viejo Terminal,Origen-Destino,2B,Directa Centro,Transporte Medellín Castilla,,,,,1533081600000
90067,250R,Robledales,Destino-Origen,2A,Directa Centro,Palenque Robledal,,,,,1533081600000
90004,313,Terminal del Norte-Terminal del Sur,Origen-Destino,Circular 313,Circular,Combuses,,,,,1632355200000
90290,195ii,Laureles Campestre-estación Santa Lucía - estación Floresta,Destino-Origen,8A,Integrada,Tax Maya,,,,,1629936000000
90015,315,Circular 315,Origen-Destino,Circular 315 Y 316,Circular,Santra,,,,,1594944000000
90084,255i,Metrocable Aurora-Cárcel,Destino-Origen,2A,Integrada,Rápido San Cristóbal,,,,,1533081600000
90059,246D,Blanquizal Calazanía directa,Destino-Origen,2A,Directa Centro,Cootransblan,,,,,1533081600000
90091,255V3,Izquierda Vereda Boquerón - Parque San Cristóbal,Origen-Destino,2A,Directa No Centro,Rápido San Cristóbal,,,,,1592956800000
90077,253I,Aures izquierda,Origen-Destino,2A,Directa Centro,Palenque Robledal,,,,,1533081600000
90069,250iR,Robledal integrada,Destino-Origen,2A,Integrada,Palenque Robledal,,,,,1533081600000
90073,250AP,Pajarito,Origen-Destino,2A,Directa Centro,Palenque Robledal,,,,,1533081600000
90009,304,Comercial Hotelera derecha,Destino-Origen,"Circular 304, 305, 308, 308D, 309, 309D",Circular,Invetrans,,,,,1533081600000
90057,246,Blanquizal,Origen-Destino,2A,Directa Centro,Cootransblan,,,,,1582502400000
90082,255D,San Cristóbal -Conexión vial,Origen-Destino,2A,Directa Centro,Rápido San Cristóbal,,,,,1533081600000
90068,250iVF,Villa Flora integrada,Origen-Destino,2A,Integrada,Palenque Robledal,,,,,1576195200000
90086,255P,Palmitas-Centro,Destino-Origen,2A,Directa Centro,Rápido San Cristóbal,,,,,1533081600000
90012,308D,Ruta de la Salud derecha directa,Destino-Origen,"Circular 304, 305, 308, 308D, 309, 309D",Circular,Coinvetrans,,,,,1632355200000
90079,253iAR,Robledo Aures integrada Ramal,Destino-Origen,2A,Integrada,Palenque Robledal,,,,,1533081600000
90063,246i,Blanquizal integrada,Origen-Destino,2A,Integrada,Cootransblan,,,,,1533081600000
90009,304,Comercial Hotelera derecha,Origen-Destino,"Circular 304, 305, 308, 308D, 309, 309D",Circular,Invetrans,,,,,1533081600000
90065,250AiP,Pajarito integrada,Destino-Origen,2A,Integrada,Palenque Robledal,,,,,1699574400000
90064,246ii,Blanquizal integrada,Destino-Origen,2A,Integrada,Cootransblan,,,,,1533081600000
90084,255i,Metrocable Aurora-Cárcel,Origen-Destino,2A,Integrada,Rápido San Cristóbal,,,,,1533081600000
90096,260i,Seminario integrada,Origen-Destino,2A,Integrada,Palenque Robledal,,,,,1576195200000
90105,254i,Pilarica integrada,Origen-Destino,2B,Integrada,Transporte Medellín Castilla,,,,,1533081600000
90004,313,Terminal del Norte-Terminal del Sur,Destino-Origen,Circular 313,Circular,Combuses,,,,,1632355200000
90076,253D,Aures derecha,Destino-Origen,2A,Directa Centro,Palenque Robledal,,,,,1533081600000
90011,308,Ruta de la Salud derecha,Origen-Destino,"Circular 304, 305, 308, 308D, 309, 309D",Circular,Coinvetrans,,,,,1533081600000
90106,254iB_TV 73,Pilarica,Destino-Origen,2B,Integrada,Transporte Medellín Castilla,,,,,1533081600000
90184,102D,Ávila-Iglesia Cataluña,Origen-Destino,6A,Directa Centro,Cootranscataluña,,,,,1576627200000
90089,255V2,Vereda Yolombó - Parque San Cristóbal,Destino-Origen,2A,Directa No Centro,Rápido San Cristóbal,,,,,1533081600000
90184,102D,Ávila-Iglesia Cataluña,Destino-Origen,6A,Directa Centro,Cootranscataluña,,,,,1576627200000
90374,172-178 FUSION,Belen la Gloria,Origen-Destino,3A,Directa Centro,Cootrabel,,,,,1729555200000
90375,024 Barrial,Playon de los Comuneros_Barrial,Destino-Origen,6B,Directa No Centro,,,,,,1624492800000
90282,190,Laureles Parque,Origen-Destino,8A,Directa Centro,Autobuses Poblado Laureles,,,,,1629676800000
90374,172-178 FUSION,Belen la Gloria,Destino-Origen,3A,Directa Centro,Cootrabel,,,,,1729555200000
90131,Anillo 3H Carrera 65 Horario Esp,Alpujarra - Oriental sentido horario,Destino-Origen,2B,Directa Centro,Transporte Medellín Castilla,,,,,1700006400000
90126,306B,Derecha - Circular Noroccidental,Destino-Origen,2B,Integrada,Transporte Medellín Castilla,,,,,1533081600000
90122,283i,Florencia-estación Acevedo,Origen-Destino,2B,Integrada,Transporte Medellín Castilla,,,,,1700438400000
90116,270i,Gratamira-Estación Acevedo,Origen-Destino,2B,Integrada,Transporte Medellín Castilla,,,,,1582502400000
