id_ruta,codigo_ruta,nombre_ruta,recorrido,sistema_ruta,tipo_ruta,empresa,id_gflota,from_date,tipo_actoadmin,numero_actoadmin,anio_actoadmin,estado,fecha_actualizacion
90229,81,Villa Hermosa - Derecho,Origen-Destino,6D,Directa Centro,Flota Nueva Villa,111425,1755182463247,,,,,1755182463247
90077,253I,Aures izquierda,Origen-Destino,2A,Directa Centro,Palenque Robledal,110335,1755182463247,,,,,1755182463247
90072,250M,Moravia,Destino-Origen,2A,Integrada,Palenque Robledal,110272,1755182463247,,,,,1755182463247
90184,102D,Ávila-Iglesia Cataluña,Origen-Destino,6A,Directa Centro,Cootranscataluña,112885,1755182463247,,,,,1755182463247
90078,253iA,Robledo Aures integrada,Origen-Destino,2A,Integrada,Palenque Robledal,110292,1755182463247,,,,,1755182463247
90239,87,Pinar Torres,Origen-Destino,6F,Directa Centro,Cootranspinal,111525,1755182463247,,,,,1755182463247
90317,240,Floresta Estadio-Oriental,Destino-Origen,8A,Directa Centro,Conducciones América,112345,1755182463247,,,,,1755182463247
90079,253iAR,Robledo Aures integrada Ramal,Origen-Destino,2A,Integrada,Palenque Robledal,110302,1755182463247,,,,,1755182463247
90087,255V1,Vereda El Llano - Parque San Cristóbal,Origen-Destino,2A,Directa No Centro,Rápido San Cristóbal,110156,1755182463247,,,,,1755182463247
90094,260CL,Clínica,Origen-Destino,2A,Directa Centro,Palenque Robledal,110365,1755182463247,,,,,1755182463247
90095,260C,Córdoba,Origen-Destino,2A,Directa Centro,Palenque Robledal,110355,1755182463247,,,,,1755182463247
90187,102A,Pablo Escobar-Cataluña,Origen-Destino,6A,Directa No Centro,Cootranscataluña,111136,1755182463247,,,,,1755182463247
90322,243i,Floresta,Destino-Origen,8A,Integrada,Coonatra,112172,1755182463247,,,,,1755182463247
90096,260i,Seminario integrada,Origen-Destino,2A,Integrada,Palenque Robledal,110392,1755182463247,,,,,1755182463247
90097,260BR,Brisas,Origen-Destino,2A,Directa Centro,Palenque Robledal,110385,1755182463247,,,,,1755182463247
90188,110,La Milagrosa,Origen-Destino,6A,Directa No Centro,Flota la Milagrosa,111146,1755182463247,,,,,1755182463247
